"subregion","region","pop","income","ipaddr","ufo2010","infections"
"copiah","mississippi",28955,38154,6847,1,16
"corson","south dakota",4077,28506,891,0,0
"cortland","new york",49474,45956,109534,5,44
"coryell","texas",77231,48920,47523,6,89
"coshocton","ohio",36779,40727,13514,2,15
"costilla","colorado",3594,25949,127,0,0
"cottle","texas",1486,39038,765,0,2
"cotton","oklahoma",6155,46075,2933,2,4
"cottonwood","minnesota",11597,43111,9424,0,5
"covington","alabama",37955,33544,16263,5,56
"covington","mississippi",19607,31127,4100,0,4
"coweta","georgia",130929,61015,100924,6,135
"cowley","kansas",36288,40924,23565,2,29
"cowlitz","washington",101996,46461,74682,26,39
"craig","oklahoma",14748,41010,19386,0,8
"craig","virginia",5213,54120,2928,1,0
"craighead","arkansas",99735,40221,125076,5,78
"crane","texas",4562,48648,9383,0,1
"craven","north carolina",104770,46251,41721,12,72
"crawford","arkansas",61946,40409,18441,12,38
"crawford","georgia",12600,37746,4085,0,6
"crawford","illinois",19600,43923,19807,0,12
"crawford","indiana",10665,40354,1402,0,3
"crawford","iowa",17309,45423,13408,0,24
"crawford","kansas",39361,36043,39677,0,32
"crawford","michigan",14009,39597,10961,0,4
"crawford","missouri",24832,35947,2165,2,3
"crawford","ohio",42849,41336,12014,2,12
"crawford","pennsylvania",87598,40379,113387,5,126
"crawford","wisconsin",16560,40933,7255,0,7
"creek","oklahoma",70651,42940,33582,6,36
"crenshaw","alabama",14083,38041,3526,1,24
"crisp","georgia",23606,32616,6635,0,17
"crittenden","arkansas",50021,35264,172030,5,38
"crittenden","kentucky",9280,32545,4724,0,3
"crockett","tennessee",14623,36743,26930,1,23
"crockett","texas",3743,51522,1416,2,1
"crook","oregon",20729,45004,13242,5,12
"crook","wyoming",7155,49757,2934,0,4
"crosby","texas",6126,35655,3319,0,2
"cross","arkansas",17683,38432,4991,1,7
"crow wing","minnesota",62882,45853,52309,3,52
"crowley","colorado",5365,40636,330,0,2
"culberson","texas",2290,37500,509,0,0
"cullman","alabama",80440,38703,51680,11,47
"culpeper","virginia",47911,66458,24148,0,30
"cumberland","illinois",10968,43255,4599,0,5
"cumberland","kentucky",6819,29528,3575,0,4
"cumberland","maine",283921,57267,291555,24,186
"cumberland","new jersey",157785,52004,120563,3,127
"cumberland","north carolina",324049,44861,329035,16,405
"cumberland","pennsylvania",238614,60832,434919,9,208
"cumberland","tennessee",57029,36955,50413,3,41
"cumberland","virginia",9849,45184,1912,0,0
"cuming","nebraska",9072,46847,2605,2,0
"currituck","north carolina",24077,57588,27140,10,41
"curry","new mexico",49938,40397,31888,1,44
"curry","oregon",22248,39787,8064,13,13
"custer","colorado",4249,43358,7074,0,22
"custer","idaho",4331,43445,2423,3,3
"custer","montana",11888,41373,5525,1,11
"custer","nebraska",10740,43657,10323,1,12
"custer","oklahoma",28536,43125,15595,2,17
"custer","south dakota",8339,48125,9002,0,9
"cuyahoga","ohio",1265111,44088,2352636,50,1302
"dade","georgia",16490,41629,9362,2,15
"dade","missouri",7568,32248,3866,0,0
"daggett","utah",1090,44750,3960,0,1
"dakota","minnesota",405088,73723,760420,35,175
"dakota","nebraska",20918,43294,9651,1,10
"dale","alabama",50444,45491,46135,2,152
"dallam","texas",6996,47500,18280,0,9
"dallas","alabama",42864,26909,8337,0,16
"dallas","arkansas",7987,30011,4331,0,9
"dallas","iowa",71967,71691,12387,4,15
"dallas","missouri",16799,39132,9463,2,5
"dallas","texas",2453843,48942,9567522,163,2682
"dane","wisconsin",503523,61913,1989112,50,607
"daniels","montana",1786,37578,2299,1,7
"dare","north carolina",34573,54750,127,0,0
"darke","ohio",52507,45055,21073,14,34
"darlington","south carolina",68139,38567,27751,7,147
"dauphin","pennsylvania",269665,53771,1049924,24,236
"davidson","north carolina",163260,44728,93809,7,145
"davidson","tennessee",648295,46737,1960916,77,466
"davie","north carolina",41433,50562,25546,3,40
"daviess","indiana",32064,45231,16448,0,10
"daviess","kentucky",97847,44763,90383,5,112
"daviess","missouri",8239,41133,6123,0,7
"davis","iowa",8689,46651,4229,0,3
"davis","utah",315809,69147,254795,9,151
"davison","south dakota",19769,44597,29731,0,22
"dawes","nebraska",9152,36396,67714,1,2
"dawson","georgia",22422,51989,16242,7,24
"dawson","montana",9249,51761,6131,1,9
"dawson","nebraska",24220,45038,14586,0,9
"dawson","texas",13640,39454,7533,0,7
"day","south dakota",5613,40335,890,0,0
"de baca","new mexico",1927,33714,1533,3,5
"de kalb","alabama",71080,36853,22958,4,52
"de kalb","georgia",707089,51712,979623,15,616
"de kalb","illinois",104704,54436,130690,5,65
"de kalb","indiana",42321,47099,44821,0,32
"de kalb","missouri",12940,45252,637,0,1
"de kalb","tennessee",18901,36870,7018,1,19
"de soto","florida",34712,36407,12374,3,13
"de soto","louisiana",26963,39213,6259,1,3
"de soto","mississippi",166234,59734,89889,8,158
"de witt","illinois",16434,48750,9948,1,3
"de witt","texas",20465,43380,14693,0,20
"deaf smith","texas",19360,41134,6009,1,6
"dearborn","indiana",49831,57146,25900,0,40
"decatur","georgia",27509,31391,19182,0,16
"decatur","indiana",26042,47810,25361,0,20
"decatur","iowa",8253,34185,10708,2,6
"decatur","kansas",2871,35887,286,0,2
"decatur","tennessee",11673,30311,8689,0,14
"deer lodge","montana",9227,34095,4794,2,3
"defiance","ohio",38677,46864,25148,5,31
"del norte","california",28290,37588,8652,6,19
"delaware","indiana",117364,38730,123005,11,71
"delaware","iowa",17574,49375,9568,0,12
"delaware","new york",47276,43554,105866,5,34
"delaware","ohio",181061,90022,133619,18,131
"delaware","oklahoma",41441,35552,15774,4,20
"delaware","pennsylvania",561098,63677,886396,22,488
"delta","colorado",30432,41856,28723,4,21
"delta","michigan",36884,42932,22396,2,32
"delta","texas",5329,34710,636,0,1
"dent","missouri",15647,36715,3069,3,13
"denton","texas",707304,72305,711868,55,603
"denver","colorado",634265,47499,3369302,0,1312
"des moines","iowa",40340,43111,32151,2,38
"deschutes","oregon",162277,52962,132192,16,85
"desha","arkansas",12545,30786,3237,0,0
"deuel","nebraska",1972,37500,127,0,0
"deuel","south dakota",4380,46186,4208,0,8
"dewey","oklahoma",4783,41500,2180,0,1
"dewey","south dakota",5538,30645,7799,0,9
"dickens","texas",2323,35333,766,2,2
"dickenson","virginia",15690,30556,6369,0,6
"dickey","north dakota",5268,41776,11246,0,5
"dickinson","iowa",16972,52704,20892,2,12
"dickinson","kansas",19762,49003,6261,1,5
"dickinson","michigan",26220,43651,25115,3,20
"dickson","tennessee",50381,44201,16343,3,24
"dillon","south carolina",31446,26067,8304,2,11
"dimmit","texas",10461,26730,7199,0,12
"dinwiddie","virginia",27994,50583,19729,0,21
"divide","north dakota",2228,47545,255,0,0
"dixie","florida",16126,34243,18538,0,8
"dixon","nebraska",5918,44840,2296,0,7
"doddridge","west virginia",8178,32063,1016,0,3
"dodge","georgia",21329,33829,7283,1,4
"dodge","minnesota",20231,66216,13327,0,14
"dodge","nebraska",36427,44744,22678,2,20
"dodge","wisconsin",88415,53589,49610,8,53
"dolores","colorado",1994,44077,1028,2,2
"dona ana","new mexico",214445,37223,186864,27,69
"doniphan","kansas",7864,45000,9355,0,6
"donley","texas",3598,44300,2168,0,3
"dooly","georgia",14318,30830,5875,0,7
"door","wisconsin",27817,48680,35380,2,17
"dorchester","maryland",32551,46683,38795,0,25
"dorchester","south carolina",142496,54875,71284,13,80
"dougherty","georgia",94501,32364,80560,2,157
"douglas","colorado",298215,101193,191697,19,115
"douglas","georgia",133971,54763,94024,5,151
"douglas","illinois",19853,47921,18547,2,9
"douglas","kansas",112864,47063,283027,0,86
"douglas","minnesota",36415,48436,31298,1,32
"douglas","missouri",13585,32300,4803,2,8
"douglas","nebraska",531265,52929,1650238,6,532
"douglas","nevada",46996,60383,56641,2,30
"douglas","oregon",107164,40501,82143,15,47
"douglas","south dakota",2970,45957,1027,0,7
"douglas","washington",39350,49707,43160,2,43
"douglas","wisconsin",43785,44140,85696,6,25
"drew","arkansas",18743,32038,13800,0,20
"du page","illinois",927987,77598,7360588,108,942
"dubois","indiana",42071,53997,95245,1,44
"dubuque","iowa",95097,49663,64584,9,68
"duchesne","utah",19244,55790,19698,2,30
"dukes","massachusetts",17041,69760,16546,0,18
"dundy","nebraska",2021,40278,3193,0,3
"dunklin","missouri",31826,30806,10873,1,24
"dunn","north dakota",3967,52861,1162,0,1
"dunn","wisconsin",44072,48342,84654,0,35
"duplin","north carolina",60033,34264,85829,6,20
"durham","north carolina",279641,50078,20189619,19,218
"dutchess","new york",297322,71125,493706,30,292
"duval","florida",879602,49964,1380551,72,799
"duval","texas",11717,35144,637,2,1
"dyer","tennessee",38255,38909,27653,4,40
"eagle","colorado",51874,70914,56624,9,51
"early","georgia",10594,27645,2421,0,2
"east baton rouge","louisiana",444526,46838,952740,25,461
"east carroll","louisiana",7526,25267,2821,0,3
"east feliciana","louisiana",20008,37403,7239,2,16
"eastland","texas",18421,34531,12146,9,6
"eaton","michigan",108008,54170,252872,12,75
"eau claire","wisconsin",100677,46826,296571,7,138
"echols","georgia",3988,29476,4850,0,7
"ector","texas",144325,50056,85215,9,133
"eddy","new mexico",54419,47725,21487,7,44
"eddy","north dakota",2368,40096,4217,0,2
"edgar","illinois",18191,42947,15332,0,5
"edgecombe","north carolina",55954,34198,18921,0,25
"edgefield","south carolina",26347,44090,8093,0,12
"edmonson","kentucky",12071,35217,3564,1,5
"edmunds","south dakota",4026,48039,7,0,0
"edwards","illinois",6684,39071,4205,0,7
"edwards","kansas",2979,41406,765,0,0
"edwards","texas",1968,43095,2042,0,2
"effingham","georgia",53293,58935,20586,4,59
"effingham","illinois",34353,50938,19812,1,23
"el dorado","california",180561,68815,290594,11,92
"el paso","colorado",644964,57079,1193051,13,657
"el paso","texas",827398,38259,648203,57,574
"elbert","colorado",23383,79367,9375,4,9
"elbert","georgia",19684,32634,16698,0,17
"elk","kansas",2720,34246,2042,0,0
"elk","pennsylvania",31550,42854,25016,2,67
"elkhart","indiana",199619,47308,146847,10,131
"elko","nevada",51216,69459,55386,14,52
"elliott","kentucky",7780,25769,1149,1,0
"ellis","kansas",29053,43713,42390,1,51
"ellis","oklahoma",4104,45017,437,2,1
"ellis","texas",153969,62639,182997,15,109
"ellsworth","kansas",6494,43125,6000,0,10
"elmore","alabama",80629,54831,67040,5,95
"elmore","idaho",26223,43691,22347,2,22
"emanuel","georgia",22898,30427,9939,0,29
"emery","utah",10933,50800,19689,7,5
"emmet","iowa",10120,44357,7625,2,4
"emmet","michigan",32915,50269,20147,1,17
"emmons","north dakota",3491,36903,1786,2,3
"erath","texas",39321,40096,29898,12,27
"erie","new york",919086,48805,1545847,75,815
"erie","ohio",76398,47466,41156,1,76
"erie","pennsylvania",280646,44503,242442,22,154
"escambia","alabama",37994,31638,28660,1,23
"escambia","florida",302715,43707,165447,2,164
"esmeralda","nevada",775,29438,0,0,0
"essex","massachusetts",755618,65785,1245845,59,550
"essex","new jersey",787744,55876,18577782,25,702
"essex","new york",38961,46629,28368,5,35
"essex","vermont",6226,37679,2443,1,0
"essex","virginia",11233,44581,9332,0,8
"estill","kentucky",14493,28148,7567,0,11
"etowah","alabama",104392,37772,66760,9,82
"eureka","nevada",2001,61908,382,2,0
"evangeline","louisiana",33710,34848,14221,0,63
"evans","georgia",10689,38000,5256,1,6
"fairfax","virginia",1118602,108439,25625820,60,770
"fairfield","connecticut",933835,82558,36859317,50,660
"fairfield","ohio",147474,58249,94171,13,96
"fairfield","south carolina",23363,34117,7654,0,11
"fall river","south dakota",6971,34948,4622,0,16
"fallon","montana",3024,49573,1787,0,3
"falls","texas",17610,31543,11629,0,14
"fannin","georgia",23492,34554,15023,4,26
"fannin","texas",33831,44136,14150,4,10
"faribault","minnesota",14263,43214,27303,1,10
"faulk","south dakota",2377,40125,1147,0,8
"faulkner","arkansas",118704,47649,230526,1,166
"fauquier","virginia",66542,87958,73676,5,47
"fayette","alabama",16983,33378,7916,1,17
"fayette","georgia",107524,81498,82864,8,89
"fayette","illinois",22014,43081,9562,0,11
"fayette","indiana",24029,35802,9560,0,23
"fayette","iowa",20793,42108,12451,1,5
"fayette","kentucky",305489,48306,750333,33,384
"fayette","ohio",28880,39263,13341,4,27
"fayette","pennsylvania",135660,36605,61493,5,108
"fayette","tennessee",38659,57437,14464,1,22
"fayette","texas",24695,47285,11354,2,8
"fayette","west virginia",45869,32940,13197,4,31
"fentress","tennessee",17940,29245,8938,0,15
"fergus","montana",11435,37601,3966,0,8
"ferry","washington",7705,35684,3325,4,0
"fillmore","minnesota",20834,47940,9945,0,8
"fillmore","nebraska",5771,44031,3313,2,2
"finney","kansas",37200,51179,19132,5,34
"fisher","texas",3844,43724,1807,0,3
"flagler","florida",98359,48708,109471,21,120
"flathead","montana",91633,45588,69451,12,91
"fleming","kentucky",14560,31979,3946,0,14
"florence","south carolina",137948,41325,73077,12,98
"florence","wisconsin",4482,43000,254,0,1
"floyd","georgia",96177,43129,55793,11,45
"floyd","indiana",75283,52803,112320,8,71
"floyd","iowa",16056,42247,8310,1,11
"floyd","kentucky",38949,28221,15690,0,37
"floyd","texas",6367,35967,9446,0,1
"floyd","virginia",15390,40761,8069,0,10
"fluvanna","virginia",25967,68615,15429,0,11
"foard","texas",1307,31006,766,0,2
"fond du lac","wisconsin",101843,52717,130409,8,86
"ford","illinois",14008,50332,11245,0,14
"ford","kansas",34752,49061,55658,0,46
"forest","pennsylvania",7667,36006,3570,0,2
"forest","wisconsin",9206,38176,4849,0,1
"forrest","mississippi",76894,35805,117893,0,93
"forsyth","georgia",187928,88262,101926,10,90
"forsyth","north carolina",358137,46417,899048,7,293
"fort bend","texas",627293,82571,556463,5,644
"foster","north dakota",3392,47500,5044,0,7
"fountain","indiana",17119,44802,14851,2,1
"franklin","alabama",31761,35831,9413,0,6
"franklin","arkansas",18045,34819,9197,2,27
"franklin","florida",11686,37017,5481,1,11
"franklin","georgia",21894,33086,8306,4,5
"franklin","idaho",12786,46344,6634,0,5
"franklin","illinois",39407,36383,21810,2,20
"franklin","indiana",22969,52234,15002,3,9
"franklin","iowa",10554,46461,10349,0,2
"franklin","kansas",25906,50231,19311,1,18
"franklin","kentucky",49804,47062,444513,3,45
"franklin","louisiana",20561,34105,5092,0,4
"franklin","maine",30630,40502,17591,1,15
"franklin","massachusetts",71540,52246,115704,8,72
"franklin","mississippi",7918,33250,3594,0,17
"franklin","missouri",101412,50098,66676,3,48
"franklin","nebraska",3188,40556,891,0,4
"franklin","new york",51795,43673,22637,0,24
"franklin","north carolina",61475,44598,21128,5,34
"franklin","ohio",1195537,50045,223441040,82,1512
"franklin","pennsylvania",151275,51171,108351,1,116
"franklin","tennessee",40772,41726,77317,4,23
"franklin","texas",10640,47500,6131,0,2
"franklin","vermont",48214,55181,14422,0,17
"franklin","virginia",56411,47606,20960,5,32
"franklin","washington",85845,50731,48351,4,36
"frederick","maryland",239582,82668,367516,10,186
"frederick","virginia",80317,66440,89720,6,64
"freeborn","minnesota",31054,43447,13418,4,23
"freestone","texas",19515,45816,5623,5,14
"fremont","colorado",46788,38979,20688,1,16
"fremont","idaho",12957,42178,6197,0,2
"fremont","iowa",7147,49934,2690,0,4
"fremont","wyoming",41110,48788,90095,6,19
"fresno","california",947895,46903,553119,100,686
"frio","texas",17702,37769,12781,0,7
"frontier","nebraska",2741,47552,12477,1,1
"fulton","arkansas",12318,33281,4591,1,9
"fulton","georgia",977773,57582,7597379,25,1428
"fulton","illinois",36651,42963,9235,1,18
"fulton","indiana",20737,42330,4719,4,11
"fulton","kentucky",6525,34545,1021,0,1
"fulton","new york",54925,45289,48229,2,50
"fulton","ohio",42513,51851,19330,3,27
"fulton","pennsylvania",14772,45960,6556,0,10
"furnas","nebraska",4907,38650,510,0,0
"gadsden","florida",46528,33453,33509,3,39
"gage","nebraska",21806,45573,13741,3,19
"gaines","texas",18413,47157,3507,0,0
"gallatin","illinois",5430,38577,10352,0,7
"gallatin","kentucky",8479,45400,1304,1,0
"gallatin","montana",92614,51391,210281,12,122
"gallia","ohio",30708,36918,10240,0,10
"galveston","texas",300484,59645,242834,16,249
"garden","nebraska",1953,35861,766,0,0
"garfield","colorado",56953,63929,19340,0,8
"garfield","montana",1261,37500,765,0,2
"garfield","nebraska",2007,38973,700,0,1
"garfield","oklahoma",61189,41688,30757,3,58
"garfield","utah",5095,46029,6769,2,2
"garfield","washington",2228,47379,1276,0,1
"garland","arkansas",96903,38210,80060,10,92
"garrard","kentucky",16913,40137,4585,4,12
"garrett","maryland",29854,45280,34420,3,15
"garvin","oklahoma",27297,39171,8552,5,14
"garza","texas",6412,42883,1657,2,2
"gasconade","missouri",14972,40788,5438,1,7
"gaston","north carolina",208049,43052,140323,18,165
"gates","north carolina",11869,45183,1034,3,2
"geary","kansas",38013,45649,25281,2,37
"geauga","ohio",93680,66229,77592,6,68
"gem","idaho",16673,44442,4730,2,3
"genesee","michigan",418408,43418,354620,34,285
"genesee","new york",59977,50861,41082,8,47
"geneva","alabama",26931,35237,9419,0,8
"gentry","missouri",6777,36307,2806,0,1
"george","mississippi",22930,45365,5634,0,10
"georgetown","south carolina",60189,42677,91525,4,53
"gibson","indiana",33458,48171,6684,8,15
"gibson","tennessee",49626,37577,20986,4,38
"gila","arizona",53144,37905,18097,12,20
"gilchrist","florida",16815,38467,14657,0,14
"giles","tennessee",29072,37981,15979,2,10
"giles","virginia",16928,43012,14563,0,16
"gillespie","texas",25153,54843,16231,0,9
"gilliam","oregon",1953,42260,3222,0,1
"gilmer","georgia",28190,37091,20667,0,21
"gilmer","west virginia",8732,33309,2822,0,3
"gilpin","colorado",5491,59394,4227,0,1
"glacier","montana",13711,40109,3960,2,9
"glades","florida",13107,39611,6792,2,15
"gladwin","michigan",25484,38160,19554,2,23
"glascock","georgia",3142,36275,3836,0,0
"glasscock","texas",1259,72188,2808,0,6
"glenn","california",27992,43239,6147,0,9
"gloucester","new jersey",289586,74830,206579,7,254
"gloucester","virginia",36886,62067,41423,1,42
"glynn","georgia",81022,49828,30945,0,77
"gogebic","michigan",16084,34917,77280,4,20
"golden valley","montana",839,36250,382,0,0
"golden valley","north dakota",1804,35402,1529,0,0
"goliad","texas",7351,51389,382,0,0
"gonzales","texas",20045,38623,10133,1,13
"goochland","virginia",21347,81288,30252,0,15
"goodhue","minnesota",46336,56099,34228,4,30
"gooding","idaho",15291,40854,1593,4,1
"gordon","georgia",55766,41336,26711,5,62
"goshen","wyoming",13636,42126,11395,1,5
"gosper","nebraska",2029,42875,3187,0,6
"gove","kansas",2729,41853,381,0,2
"grady","georgia",25440,32091,7318,0,17
"grady","oklahoma",53118,47456,20765,5,66
"grafton","new hampshire",89181,53000,237453,17,72
"graham","arizona",37416,43083,27279,7,31
"graham","kansas",2578,41008,1276,0,1
"graham","north carolina",8700,32255,2841,0,6
"grainger","tennessee",22706,31711,9306,2,10
"grand","colorado",14195,64281,15110,4,9
"grand","utah",9328,42004,0,0,0
"grand forks","north dakota",67472,46050,44626,5,44
"grand isle","vermont",6983,59566,1310,1,1
"grand traverse","michigan",89112,50629,99845,9,78
"granite","montana",3109,38179,424,0,2
"grant","arkansas",17986,50927,11115,0,9
"grant","indiana",69330,39377,74308,14,90
"grant","kansas",7923,59127,15218,0,7
"grant","kentucky",24485,43755,6972,3,7
"grant","louisiana",22068,39988,4465,0,10
"grant","minnesota",5944,43777,4882,0,4
"grant","nebraska",629,39531,254,0,0
"grant","new mexico",29388,36925,9134,2,8
"grant","north dakota",2333,41821,762,0,1
"grant","oklahoma",4516,42227,1125,0,4
"grant","oregon",7317,34367,4353,0,9
"grant","south dakota",7259,44444,3191,0,3
"grant","washington",91723,44237,73601,11,69
"grant","west virginia",11816,40008,7648,1,10
"grant","wisconsin",51087,45022,86697,4,21
"granville","north carolina",60436,49090,24977,2,35
"gratiot","michigan",42063,39867,27774,1,20
"graves","kentucky",37544,35514,32381,1,24
"gray","kansas",6030,55559,3956,1,9
"gray","texas",22978,42845,16861,2,9
"grays harbor","washington",71692,42729,16291,0,8
"grayson","kentucky",25964,32919,14662,1,31
"grayson","texas",121935,46993,82722,13,84
"grayson","virginia",15183,31599,10564,1,11
"greeley","kansas",1298,58971,892,0,4
"greeley","nebraska",2458,42396,892,1,1
"green","kentucky",11315,35313,5481,1,7
"green","wisconsin",36909,53933,21712,3,11
"green lake","wisconsin",19039,48937,7270,6,6
"greenbrier","west virginia",35820,35180,13009,2,26
"greene","alabama",8876,23004,1880,0,2
"greene","arkansas",43163,39090,22923,2,39
"greene","georgia",16092,38209,9938,1,14
"greene","illinois",13576,42193,4967,1,10
"greene","indiana",32940,43869,10364,0,11
"greene","iowa",9153,44981,5750,0,0
"greene","mississippi",14311,40404,1145,0,3
"greene","missouri",280626,41622,309679,40,306
"greene","new york",48673,47033,30956,16,36
"greene","north carolina",21429,41073,10726,0,12
"greene","ohio",163587,57553,376834,17,117
"greene","pennsylvania",38085,42565,22995,4,30
"greene","tennessee",68819,36310,38106,12,30
"greene","virginia",18771,58550,6776,1,11
"greenlee","arizona",8802,49390,3741,0,4
"greensville","virginia",11851,42000,17486,0,14
"greenup","kentucky",36707,41902,13116,5,29
"greenville","south carolina",467605,48518,1179393,29,525
"greenwood","kansas",6454,37543,3765,3,7
"greenwood","south carolina",69756,39366,27358,2,35
"greer","oklahoma",6082,38882,382,0,1
"gregg","texas",122658,44608,81006,6,147
"gregory","south dakota",4265,35975,2296,1,5
"grenada","mississippi",21682,33123,18806,0,21
"griggs","north dakota",2362,43000,636,0,0
"grimes","texas",26783,40509,7528,0,7
"grundy","illinois",50281,64592,21114,4,18
"grundy","iowa",12448,55848,8822,0,7
"grundy","missouri",10338,36590,6618,2,6
"grundy","tennessee",13650,25890,8682,1,7
"guadalupe","new mexico",4603,26152,1533,0,3
"guadalupe","texas",139841,61608,96314,5,137
"guernsey","ohio",39817,38179,15210,2,20
"guilford","north carolina",500879,46288,916116,42,529
"gulf","florida",15718,41291,11620,2,23
"gunnison","colorado",15475,50073,13943,1,5
"guthrie","iowa",10777,50000,8290,1,7
"gwinnett","georgia",842046,63076,4553101,42,941
"haakon","south dakota",1939,49432,509,0,1
"habersham","georgia",43520,41222,14204,4,19
"hale","alabama",15388,29236,2672,0,6
"hale","texas",36385,39335,8861,1,20
"halifax","north carolina",54006,31370,17770,2,23
"halifax","virginia",35849,34889,12854,2,6
"hall","georgia",185416,52050,147269,14,134
"hall","nebraska",60345,47469,22924,6,36
"hall","texas",3293,32059,1276,3,2
"hamblen","tennessee",62746,39604,38541,8,56
"hamilton","florida",14708,36683,1908,1,7
"hamilton","illinois",8370,39000,2420,0,4
"hamilton","indiana",289495,84449,395328,35,214
"hamilton","iowa",15344,46603,3760,4,15
"hamilton","kansas",2639,41351,1277,0,1
"hamilton","nebraska",9011,54980,9191,0,6
"hamilton","new york",4778,51142,7267,0,11
"hamilton","ohio",802038,49218,5784889,1,855
"hamilton","tennessee",345545,45826,549616,24,295
"hamilton","texas",8307,40757,5486,2,6
"hamlin","south dakota",5918,47771,3573,0,5
"hampden","massachusetts",465923,48866,445940,17,388
"hampshire","massachusetts",159795,60331,379375,8,100
"hampshire","west virginia",23709,29001,12106,5,29
"hampton","south carolina",20726,35914,3483,1,6
"hampton","virginia",136836,51083,168730,0,127
"hancock","georgia",8996,24483,14841,0,1
"hancock","illinois",18891,43567,11997,2,12
"hancock","indiana",70933,62184,39100,1,59
"hancock","iowa",11134,48996,7400,0,7
"hancock","kentucky",8677,47895,2904,0,1
"hancock","maine",54558,47421,25351,3,30
"hancock","mississippi",45255,42591,47486,0,48
"hancock","ohio",75671,49888,55989,8,78
"hancock","tennessee",6720,22052,1914,0,2
"hancock","west virginia",30305,38369,16146,5,20
"hand","south dakota",3388,44375,1149,0,4
"hanover","virginia",100668,77506,101836,5,64
"hansford","texas",5521,52610,5364,0,2
"hanson","south dakota",3377,47700,388,0,0
"haralson","georgia",28400,38664,19741,2,12
"hardee","florida",27514,38046,13541,2,11
"hardeman","tennessee",26533,32601,7938,1,14
"hardeman","texas",4082,36568,2612,1,4
"hardin","illinois",4258,30875,1243,0,3
"hardin","iowa",17302,46930,11905,1,5
"hardin","kentucky",107025,48743,99827,5,171
"hardin","ohio",31627,39945,79322,1,36
"hardin","tennessee",25950,32131,16146,5,4
"hardin","texas",55190,54588,27322,9,54
"harding","new mexico",707,30208,1789,0,0
"harding","south dakota",1316,46797,255,0,1
"hardy","west virginia",13866,33060,9315,0,7
"harford","maryland",248622,79953,253314,26,214
"harlan","kentucky",28543,26914,16430,0,22
"harlan","nebraska",3410,45396,1526,0,2
"harmon","oklahoma",2906,31211,254,1,0
"harnett","north carolina",122135,42965,247070,8,178
"harney","oregon",7212,38702,729,2,0
"harper","kansas",5911,42021,3308,2,1
"harper","oklahoma",3676,44850,1531,0,4
"harris","georgia",32550,67299,45253,4,29
"harris","texas",4253700,52675,27583956,227,4644
"harrison","indiana",39134,52263,12414,7,18
"harrison","iowa",14548,53750,7402,2,3
"harrison","kentucky",18624,38690,12945,0,12
"harrison","mississippi",194029,44550,134951,0,104
"harrison","missouri",8728,35915,4994,0,5
"harrison","ohio",15714,36920,9255,5,7
"harrison","texas",67450,45357,77729,5,70
"harrison","west virginia",69141,40556,149845,6,107
"hart","georgia",25518,35685,19804,3,32
"hart","kentucky",18366,31858,8162,0,27
"hartford","connecticut",897259,64007,2196830,57,789
"hartley","texas",6144,69414,1021,0,0
"harvey","kansas",34852,48880,27746,2,21
"haskell","kansas",4256,49760,2415,0,4
"haskell","oklahoma",12938,37326,3571,0,5
"haskell","texas",5901,39578,5621,0,0
"hawkins","tennessee",56587,36795,14504,4,25
"hayes","nebraska",953,45536,510,0,1
"hays","texas",168990,58247,212350,18,126
"haywood","north carolina",58908,41768,43952,0,42
"haywood","tennessee",18240,33504,12277,1,18
"heard","georgia",11633,39167,5749,1,8
"hemphill","texas",4080,54360,4664,2,4
"hempstead","arkansas",22373,34885,9593,3,5
"henderson","illinois",7043,47944,3956,0,2
"henderson","kentucky",46513,41473,24632,5,32
"henderson","north carolina",108266,47371,61714,13,87
"henderson","tennessee",28023,37627,7399,2,23
"henderson","texas",79094,41242,44725,5,71
"hendricks","indiana",150434,68192,107771,5,107
"hendry","florida",37447,37989,8426,0,10
"hennepin","minnesota",1184576,62966,5514390,76,1532
"henrico","virginia",314932,61206,1847077,51,351
"henry","alabama",17287,39948,10325,2,8
"henry","georgia",209053,64251,201387,17,341
"henry","illinois",50155,50698,33145,5,39
"henry","indiana",49345,40519,19463,1,26
"henry","iowa",20236,43510,17643,0,21
"henry","kentucky",15318,42506,2913,0,5
"henry","missouri",22153,36944,8718,11,21
"henry","ohio",28045,48932,21910,0,22
"henry","tennessee",32341,36463,20979,3,32
"henry","virginia",52969,33695,38591,0,49
"herkimer","new york",64508,42680,259057,8,159
"hernando","florida",173422,42700,145721,7,147
"hertford","north carolina",24438,31969,75456,0,7
"hettinger","north dakota",2553,41179,254,0,0
"hickman","kentucky",4754,37535,780,0,5
"hickman","tennessee",24170,43935,8442,1,7
"hickory","missouri",9391,28850,5367,6,13
"hidalgo","new mexico",4794,35532,1528,1,1
"hidalgo","texas",806552,32479,575124,9,550
"highland","ohio",42998,40423,19412,1,20
"highland","virginia",2245,43045,3706,0,5
"highlands","florida",98128,34913,49882,14,43
"hill","montana",16366,46724,16985,11,23
"hill","texas",35115,39944,19663,2,32
"hillsborough","florida",1277746,50195,1524995,107,973
"hillsborough","new hampshire",402922,70591,787843,29,330
"hillsdale","michigan",46229,43139,33142,6,21
"hinds","mississippi",248643,39290,345111,11,218
"hinsdale","colorado",810,77321,269,0,0
"hitchcock","nebraska",2887,36920,4725,0,5
"hocking","ohio",29273,42227,18495,1,35
"hockley","texas",23072,48201,23610,1,25
